fid,id,Stream,fid_2,id_2,Slope,fid_3,id_3,Lulc,fid_4,id_4,Recharge
111,110,3,111,110,2,111,110,,111,110,
112,111,3,112,111,4,112,111,4,112,111,3.79999995231628
113,112,3,113,112,2,113,112,,113,112,
114,113,3,114,113,3,114,113,3,114,113,3.20000004768372
115,114,3,115,114,4,115,114,4,115,114,3.79999995231628
116,115,3,116,115,3,116,115,3,116,115,3.20000004768372
117,116,3,117,116,2,117,116,3,117,116,2.79999995231628
118,117,4,118,117,2,118,117,5,118,117,3.5
119,118,4,119,118,2,119,118,5,119,118,3.5
120,119,3,120,119,2,120,119,3,120,119,2.79999995231628
121,120,4,121,120,2,121,120,5,121,120,3.5
122,121,3,122,121,2,122,121,5,122,121,3.20000004768372
123,122,3,123,122,4,123,122,4,123,122,3.79999995231628
124,123,3,124,123,3,124,123,3,124,123,3.20000004768372
125,124,3,125,124,2,125,124,3,125,124,2.79999995231628
126,125,3,126,125,2,126,125,5,126,125,3.20000004768372
127,126,3,127,126,3,127,126,3,127,126,3.20000004768372
128,127,3,128,127,4,128,127,4,128,127,3.79999995231628
129,128,4,129,128,2,129,128,5,129,128,3.5
130,129,3,130,129,3,130,129,,130,129,
131,130,3,131,130,3,131,130,5,131,130,3.59999990463257
132,131,3,132,131,2,132,131,3,132,131,2.79999995231628
133,132,2,133,132,3,133,132,4,133,132,3.09999990463257
134,133,3,134,133,3,134,133,4,134,133,3.40000009536743
135,134,3,135,134,3,135,134,4,135,134,3.40000009536743
136,135,4,136,135,2,136,135,3,136,135,3.09999990463257
137,136,3,137,136,2,137,136,,137,136,
138,137,3,138,137,2,138,137,5,138,137,3.20000004768372
139,138,3,139,138,2,139,138,3,139,138,2.79999995231628
140,139,3,140,139,3,140,139,3,140,139,3.20000004768372
141,140,4,141,140,2,141,140,3,141,140,3.09999990463257
142,141,3,142,141,3,142,141,3,142,141,3.20000004768372
143,142,4,143,142,2,143,142,5,143,142,3.5
144,143,4,144,143,2,144,143,,144,143,
145,144,3,145,144,4,145,144,4,145,144,3.79999995231628
146,145,3,146,145,2,146,145,3,146,145,2.79999995231628
147,146,3,147,146,3,147,146,3,147,146,3.20000004768372
148,147,4,148,147,3,148,147,,148,147,
149,148,4,149,148,3,149,148,,149,148,
150,149,4,150,149,2,150,149,5,150,149,3.5
151,150,3,151,150,3,151,150,5,151,150,3.59999990463257
152,151,3,152,151,3,152,151,3,152,151,3.20000004768372
153,152,4,153,152,2,153,152,5,153,152,3.5
154,153,3,154,153,2,154,153,3,154,153,2.79999995231628
155,154,4,155,154,2,155,154,5,155,154,3.5
156,155,3,156,155,3,156,155,4,156,155,3.40000009536743
157,156,4,157,156,3,157,156,,157,156,
158,157,4,158,157,2,158,157,5,158,157,3.5
159,158,4,159,158,3,159,158,,159,158,
160,159,3,160,159,2,160,159,,160,159,
161,160,3,161,160,3,161,160,3,161,160,3.20000004768372
162,161,3,162,161,3,162,161,4,162,161,3.40000009536743
163,162,3,163,162,2,163,162,3,163,162,2.79999995231628
164,163,4,164,163,3,164,163,,164,163,
165,164,3,165,164,2,165,164,3,165,164,2.79999995231628
166,165,3,166,165,3,166,165,4,166,165,3.40000009536743
167,166,4,167,166,3,167,166,,167,166,
168,167,4,168,167,2,168,167,,168,167,
169,168,3,169,168,2,169,168,3,169,168,2.79999995231628
170,169,2,170,169,5,170,169,4,170,169,3.90000009536743
171,170,3,171,170,4,171,170,4,171,170,3.79999995231628
172,171,3,172,171,2,172,171,3,172,171,2.79999995231628
173,172,4,173,172,3,173,172,5,173,172,3.90000009536743
174,173,3,174,173,3,174,173,4,174,173,3.40000009536743
175,174,3,175,174,3,175,174,5,175,174,3.59999990463257
176,175,4,176,175,3,176,175,5,176,175,3.90000009536743
177,176,4,177,176,2,177,176,5,177,176,3.5
178,177,3,178,177,3,178,177,3,178,177,3.20000004768372
179,178,4,179,178,2,179,178,5,179,178,3.5
180,179,3,180,179,3,180,179,3,180,179,3.20000004768372
181,180,3,181,180,3,181,180,3,181,180,3.20000004768372
182,181,3,182,181,2,182,181,,182,181,
183,182,3,183,182,3,183,182,3,183,182,3.20000004768372
184,183,4,184,183,2,184,183,5,184,183,3.5
185,184,3,185,184,3,185,184,3,185,184,3.20000004768372
186,185,3,186,185,3,186,185,5,186,185,3.59999990463257
187,186,2,187,186,3,187,186,4,187,186,3.09999990463257
188,187,3,188,187,2,188,187,3,188,187,2.79999995231628
189,188,3,189,188,2,189,188,3,189,188,2.79999995231628
190,189,4,190,189,2,190,189,5,190,189,3.5
191,190,3,191,190,2,191,190,3,191,190,2.79999995231628
192,191,2,192,191,5,192,191,4,192,191,3.90000009536743
193,192,3,193,192,2,193,192,3,193,192,2.79999995231628
194,193,3,194,193,2,194,193,3,194,193,2.79999995231628
195,194,3,195,194,2,195,194,3,195,194,2.79999995231628
196,195,3,196,195,3,196,195,3,196,195,3.20000004768372
197,196,3,197,196,2,197,196,5,197,196,3.20000004768372
198,197,3,198,197,3,198,197,3,198,197,3.20000004768372
199,198,3,199,198,3,199,198,3,199,198,3.20000004768372
200,199,4,200,199,2,200,199,,200,199,
201,200,3,201,200,2,201,200,3,201,200,2.79999995231628
202,201,4,202,201,3,202,201,5,202,201,3.90000009536743
203,202,3,203,202,2,203,202,,203,202,
204,203,4,204,203,2,204,203,5,204,203,3.5
205,204,4,205,204,2,205,204,5,205,204,3.5
206,205,3,206,205,2,206,205,5,206,205,3.20000004768372
207,206,3,207,206,2,207,206,3,207,206,2.79999995231628
208,207,3,208,207,2,208,207,,208,207,
209,208,4,209,208,2,209,208,5,209,208,3.5
210,209,3,210,209,3,210,209,4,210,209,3.40000009536743
211,210,4,211,210,2,211,210,,211,210,
212,211,4,212,211,2,212,211,,212,211,
213,212,3,213,212,2,213,212,5,213,212,3.20000004768372
214,213,3,214,213,2,214,213,,214,213,
215,214,3,215,214,2,215,214,5,215,214,3.20000004768372
216,215,3,216,215,2,216,215,3,216,215,2.79999995231628
217,216,3,217,216,2,217,216,3,217,216,2.79999995231628
218,217,3,218,217,2,218,217,3,218,217,2.79999995231628
219,218,3,219,218,2,219,218,3,219,218,2.79999995231628
220,219,3,220,219,3,220,219,3,220,219,3.20000004768372
221,220,3,221,220,3,221,220,4,221,220,3.40000009536743
222,221,4,222,221,3,222,221,5,222,221,3.90000009536743
223,222,3,223,222,3,223,222,5,223,222,3.59999990463257
224,223,3,224,223,3,224,223,3,224,223,3.20000004768372
225,224,3,225,224,2,225,224,3,225,224,2.79999995231628
226,225,3,226,225,3,226,225,5,226,225,3.59999990463257
227,226,3,227,226,3,227,226,4,227,226,3.40000009536743
228,227,4,228,227,3,228,227,,228,227,
229,228,4,229,228,2,229,228,,229,228,
230,229,4,230,229,2,230,229,5,230,229,3.5
231,230,4,231,230,3,231,230,,231,230,
232,231,3,232,231,3,232,231,4,232,231,3.40000009536743
233,232,4,233,232,3,233,232,,233,232,
234,233,3,234,233,3,234,233,3,234,233,3.20000004768372
235,234,3,235,234,4,235,234,4,235,234,3.79999995231628
236,235,3,236,235,3,236,235,4,236,235,3.40000009536743
237,236,3,237,236,4,237,236,4,237,236,3.79999995231628
238,237,3,238,237,3,238,237,,238,237,
239,238,3,239,238,3,239,238,3,239,238,3.20000004768372
240,239,4,240,239,2,240,239,5,240,239,3.5
241,240,4,241,240,2,241,240,,241,240,
242,241,4,242,241,3,242,241,5,242,241,3.90000009536743
243,242,3,243,242,2,243,242,3,243,242,2.79999995231628
244,243,3,244,243,3,244,243,5,244,243,3.59999990463257
245,244,3,245,244,2,245,244,3,245,244,2.79999995231628
246,245,3,246,245,2,246,245,5,246,245,3.20000004768372
247,246,4,247,246,3,247,246,5,247,246,3.90000009536743
248,247,3,248,247,3,248,247,3,248,247,3.20000004768372
249,248,3,249,248,2,249,248,3,249,248,2.79999995231628
250,249,3,250,249,3,250,249,4,250,249,3.40000009536743
251,250,4,251,250,3,251,250,,251,250,
252,251,3,252,251,2,252,251,5,252,251,3.20000004768372
253,252,3,253,252,2,253,252,3,253,252,2.79999995231628
254,253,3,254,253,3,254,253,3,254,253,3.20000004768372
255,254,4,255,254,2,255,254,5,255,254,3.5
256,255,3,256,255,2,256,255,3,256,255,2.79999995231628
257,256,4,257,256,3,257,256,5,257,256,3.90000009536743
258,257,3,258,257,3,258,257,3,258,257,3.20000004768372
259,258,3,259,258,4,259,258,4,259,258,3.79999995231628
260,259,3,260,259,2,260,259,5,260,259,3.20000004768372
261,260,3,261,260,2,261,260,3,261,260,2.79999995231628
262,261,3,262,261,2,262,261,5,262,261,3.20000004768372
263,262,4,263,262,3,263,262,5,263,262,3.90000009536743
264,263,3,264,263,3,264,263,3,264,263,3.20000004768372
265,264,4,265,264,2,265,264,5,265,264,3.5
266,265,4,266,265,2,266,265,3,266,265,3.09999990463257
267,266,3,267,266,3,267,266,5,267,266,3.59999990463257
268,267,3,268,267,2,268,267,3,268,267,2.79999995231628
269,268,3,269,268,4,269,268,4,269,268,3.79999995231628
270,269,3,270,269,4,270,269,4,270,269,3.79999995231628
271,270,3,271,270,4,271,270,4,271,270,3.79999995231628
272,271,3,272,271,3,272,271,3,272,271,3.20000004768372
273,272,3,273,272,3,273,272,5,273,272,3.59999990463257
274,273,3,274,273,3,274,273,4,274,273,3.40000009536743
275,274,3,275,274,2,275,274,5,275,274,3.20000004768372
276,275,4,276,275,2,276,275,5,276,275,3.5
277,276,3,277,276,3,277,276,4,277,276,3.40000009536743
278,277,3,278,277,2,278,277,3,278,277,2.79999995231628
279,278,3,279,278,2,279,278,,279,278,
280,279,3,280,279,2,280,279,,280,279,
281,280,4,281,280,2,281,280,5,281,280,3.5
282,281,3,282,281,2,282,281,5,282,281,3.20000004768372
283,282,3,283,282,2,283,282,3,283,282,2.79999995231628
284,283,3,284,283,3,284,283,3,284,283,3.20000004768372
285,284,4,285,284,2,285,284,5,285,284,3.5
286,285,3,286,285,2,286,285,5,286,285,3.20000004768372
287,286,4,287,286,2,287,286,5,287,286,3.5
288,287,3,288,287,3,288,287,4,288,287,3.40000009536743
289,288,3,289,288,2,289,288,,289,288,
290,289,3,290,289,2,290,289,,290,289,
291,290,4,291,290,2,291,290,5,291,290,3.5
292,291,4,292,291,3,292,291,5,292,291,3.90000009536743
293,292,3,293,292,2,293,292,,293,292,
294,293,3,294,293,2,294,293,5,294,293,3.20000004768372
295,294,4,295,294,2,295,294,5,295,294,3.5
296,295,3,296,295,3,296,295,5,296,295,3.59999990463257
297,296,3,297,296,2,297,296,5,297,296,3.20000004768372
298,297,3,298,297,2,298,297,3,298,297,2.79999995231628
299,298,4,299,298,2,299,298,3,299,298,3.09999990463257
300,299,3,300,299,4,300,299,3,300,299,3.59999990463257
